Kaupunki;Puolue;Sukunimi;Etunimi;Ikä;Nettisivun osoite;Facebook-sivu;Twitter-sivu;Kotikuntani palveluita tulisi ulkoistaa entistä enemmän yksityisten yritysten tuotettavaksi.;Jos kunnassani tulee eteen tilanne, jossa on välttämätöntä joko leikata kunnallisia palveluita ja sosiaalietuuksia tai korottaa veroja, veronkorotukset ovat parempi vaihtoehto.;Suuret tuloerot ovat hyväksyttäviä, jotta erot ihmisten lahjakkuudessa ja ahkeruudessa voidaan palkita.;Nykyisen kaltaiset kunnalliset palvelut ja sosiaalietuudet ovat pitemmän päälle liian raskaita julkiselle taloudelle.;Kotikuntani päätöksenteossa pitää vaalia perinteisiä suomalaisia arvoja.;Eduskunta hyväksyi vuonna 2009 lain, joka mahdollistaa parisuhteensa rekisteröineille homo- ja lesbopareille perheen sisäisen adoption. Homo- ja lesboparien pitää saada oikeus myös perheen ulkopuoliseen adoptioon.;Jos valtio tarjoaa turvapaikanhakijoiden vastaanottokeskuksen perustamista kotikuntani keskustaan, tarjous pitää hyväksyä.;Kouluissa kohdellaan koululaisia liian lepsusti. Tiukempi kuri tekisi kouluista parempia.;Talouskasvu ja työpaikkojen luominen tulisi asettaa ympäristöasioiden edelle, silloin kun nämä kaksi ovat keskenään ristiriidassa.;Kaikessa kotikuntani päätöksenteossa pitäisi arvioida vaikutukset ympäristöön ja tarvittaessa luopua ympäristölle haitallisista hankkeista.;Kotikuntani palveluita tulisi ulkoistaa entistä enemmän yksityisten yritysten tuotettavaksi.;Jos kunnassani tulee eteen tilanne, jossa on välttämätöntä joko leikata kunnallisia palveluita ja sosiaalietuuksia tai korottaa veroja, veronkorotukset ovat parempi vaihtoehto.;Suuret tuloerot ovat hyväksyttäviä, jotta erot ihmisten lahjakkuudessa ja ahkeruudessa voidaan palkita.;Nykyisen kaltaiset kunnalliset palvelut ja sosiaalietuudet ovat pitemmän päälle liian raskaita julkiselle taloudelle.;Kotikuntani päätöksenteossa pitää vaalia perinteisiä suomalaisia arvoja.;Eduskunta hyväksyi vuonna 2009 lain, joka mahdollistaa parisuhteensa rekisteröineille homo- ja lesbopareille perheen sisäisen adoption. Homo- ja lesboparien pitää saada oikeus myös perheen ulkopuoliseen adoptioon.;Jos valtio tarjoaa turvapaikanhakijoiden vastaanottokeskuksen perustamista kotikuntani keskustaan, tarjous pitää hyväksyä.;Kouluissa kohdellaan koululaisia liian lepsusti. Tiukempi kuri tekisi kouluista parempia.;Talouskasvu ja työpaikkojen luominen tulisi asettaa ympäristöasioiden edelle, silloin kun nämä kaksi ovat keskenään ristiriidassa.;Kaikessa kotikuntani päätöksenteossa pitäisi arvioida vaikutukset ympäristöön ja tarvittaessa luopua ympäristölle haitallisista hankkeista.
Helsinki;KOK;Abib;Mukhtar;;;;;;;;;;;;;;;;;;;;;;;;
Helsinki;KOK;Adamsson;Nina;;;;;5;4;4;4;3;1;3;4;2;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Ahlbäck-Seppänen;Leena;;http://www.ahlbackleena.com/;http://www.facebook.com/ahlbackleena;;2;4;2;2;4;2;4;2;4;5;2;3;2;2;3;2;2;3;3;3
Helsinki;KOK;Ahonen;Johanna;31;http://www.johannaahonen.fi/;http://www.facebook.com/Johannaahonenkaupunginvaltuustoon2012;http://twitter.com/AhonenJohanna;4;4;4;5;3;1;5;4;4;4;3;2;3;3;1;3;3;2;2;3
Helsinki;KOK;Aivio;Sanna;;;;;2;1;4;1;4;1;4;4;5;5;3;3;3;3;2;3;2;3;3;3
Helsinki;KOK;Apter;Ted;26;http://www.tedapter.fi/;http://www.facebook.com/RohkeampiHelsinki;http://www.twitter.com/TedApter;5;4;4;4;4;1;5;4;2;1;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Asko-Seljavaara;Sirpa;73;http://www.sirpa-asko-seljavaara.net/;;;3;2;2;2;5;2;1;3;4;5;2;2;1;3;2;1;2;3;2;2
Helsinki;KOK;Aydar;Sait;;;;;4;1;5;4;5;3;1;5;1;5;2;3;3;3;3;2;2;3;3;3
Helsinki;KOK;Berner;Michael;;;;;4;4;4;2;2;5;1;2;4;2;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Bogomoloff;Harry;;;;;4;4;4;4;5;3;5;4;2;2;2;2;2;2;3;1;3;3;3;2
Helsinki;KOK;Brennan;Paul;;;;;5;5;5;4;1;1;1;1;5;5;1;2;2;1;3;3;1;1;1;2
Helsinki;KOK;Eiramo;Johanna;;;;;;;;;;;;;;;;;;;;;;;;
Helsinki;KOK;Ekholm-Talas;Heidi;37;http://www.heidiekholmtalas.fi/;https://www.facebook.com/EkholmTalas;https://twitter.com/EkholmTalas;5;5;5;1;3;1;5;5;5;5;3;2;2;2;2;1;1;2;2;2
Helsinki;KOK;Eklund;Merja;;;;;4;3;2;4;4;2;2;4;2;4;2;2;1;1;2;1;1;2;2;2
Helsinki;KOK;Enroth;Matti;;http://www.mattienroth.com/;;;5;4;5;2;4;2;2;2;3;4;2;3;2;2;2;1;1;2;3;2
Helsinki;KOK;Haavisto;Joona;28;http://www.joonahaavisto.fi/;http://www.facebook.com/joonahaavisto.fi;http://www.twitter.com/jhaavisto;4;4;2;2;4;1;2;5;4;5;2;2;2;2;1;3;2;3;2;2
Helsinki;KOK;Hack;Vesa;;http://www.vesahack.com/;http://www.facebook.com/vesa.hack;https://twitter.com/vesahack;3;1;3;1;1;1;1;3;5;5;2;2;2;3;3;3;3;3;3;3
Helsinki;KOK;Hakola;Juha;45;http://www.juhahakola.fi/;http://www.facebook.com/juha.hakola.5;https://twitter.com/JuhaHakola;4;4;2;4;5;4;5;2;2;5;3;2;2;2;3;2;2;3;2;2
Helsinki;KOK;Halme;Liisa;;;;;2;2;2;2;4;2;2;2;4;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Halonen;Mirja;;;;;4;3;4;4;5;4;4;4;3;4;2;2;2;2;2;2;3;2;2;2
Helsinki;KOK;Harjuhahto-Madetoja;Katrina;49;http://www.kativaltuustoon.fi/;https://www.facebook.com/#!/valtuustoon;;4;4;2;4;4;2;3;4;4;3;3;2;2;3;2;1;1;3;2;2
Helsinki;KOK;Hautamäki;Arttu;;;;;4;2;5;5;5;5;4;5;1;5;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Heistaro;Sami;;http://www.heistaro.net/;;;5;5;5;4;4;2;3;4;4;5;3;3;3;3;1;2;2;2;2;2
Helsinki;KOK;Hetemaj;Fatbardhe;27;http://www.hetemaj.fi/fi/;https://www.facebook.com/FatbardheHetemaj;http://twitter.com/hetemaj;4;4;4;2;3;1;2;2;5;5;2;2;2;3;1;3;2;2;3;2
Helsinki;KOK;Hyvärinen;Maritta;;;;;3;2;2;2;4;4;4;4;4;4;2;2;2;3;2;1;2;2;2;3
Helsinki;KOK;Hälinen;Janne;27;http://www.jannehalinen.fi/;https://www.facebook.com/halisenjanne;http://www.twitter.com/halisenjanne;3;4;5;4;4;1;2;5;4;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Hämäläinen;Jukka;;http://www.hamahakki.net/;http://www.facebook.com/jukka.hamalainen.1042;;5;4;2;1;4;1;1;4;5;5;3;3;3;3;2;3;3;2;3;2
Helsinki;KOK;Härkönen;Teppo;41;http://teppoharkonen.kokoomus.net/;;;2;2;4;2;4;4;2;4;4;5;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Isoaho;Olli;18;http://www.isoaho.net/;http://www.facebook.com/isoahonolli;;4;4;4;4;5;3;2;4;2;2;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Ivanitskiy;Katja;;http://www.katjaivanitskiy.fi/;;;3;4;5;4;3;1;2;4;3;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Järvinen;Ari;;;;;4;4;4;4;5;2;4;4;2;2;2;3;2;3;2;2;2;2;2;2
Helsinki;KOK;Kallio;Antti-Jussi;34;http://www.kalliokokoomus.fi/;http://www.facebook.com/pages/Kunnallisvaaliehdokas-2012-Kallio-Antti-Jussi-Helsinki-Kokoomus/462866597080283?ref=hl;;4;3;3;4;4;3;4;5;1;5;3;2;2;3;2;1;2;3;2;3
Helsinki;KOK;Kallislahti;Veli-Matti;49;;http://www.facebook.com/#!/kallislahti;;5;4;5;4;4;5;3;4;2;4;3;3;2;3;3;1;1;3;3;2
Helsinki;KOK;Kangasniemi;Pirjo-Liisa;;;;;4;4;1;5;5;5;5;5;2;1;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Karhuvaara;Arja;;;;;4;5;4;5;5;4;3;5;3;4;2;3;1;3;3;1;1;2;3;2
Helsinki;KOK;Kelo;Jarmo;51;http://www.jarmokelo.com/;http://www.facebook.com/jarmokelo;;2;1;2;4;5;3;4;4;3;4;3;3;2;2;3;1;2;3;2;2
Helsinki;KOK;Kivelä;Annemari;35;http://annemari.stonela.net/;http://www.facebook.com/AnnemariKivelaVastuullistaToimintaa;;5;2;5;5;4;1;1;5;4;1;3;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Klemetti;Tapio;48;http://www.tapioklemetti.fi/;;;4;3;4;5;4;5;5;2;2;4;3;3;3;3;2;2;1;2;3;2
Helsinki;KOK;Kokko;Kristiina;34;http://www.kristiinakokko.fi/;https://www.facebook.com/kristiina.kokko.5;;3;2;2;4;2;1;2;3;4;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Kolehmainen;Heikki;;;;;5;4;4;4;4;2;4;5;2;2;3;3;3;3;2;2;2;3;3;3
Helsinki;KOK;Koponen;Elisa;;http://www.elisakoponen.fi/;http://www.facebook.com/pages/Elisa-Koponen-Helsingin-kaupunginvaltuustoon/481915068494992?ref=hl;http://twitter.com/elisavaalit2012;;;;;;;;;;;;;;;;;;;;
Helsinki;KOK;Korpinen;Sini;26;http://www.sinikorpinen.fi/;https://www.facebook.com/sinikorpinen.fi;https://twitter.com/SiniKorpinen;3;4;4;4;3;1;1;4;4;4;2;2;2;2;2;3;2;2;2;2
Helsinki;KOK;Koskinen;Kauko;;;;;4;2;4;4;5;4;4;4;1;3;2;2;2;2;2;1;1;2;3;1
Helsinki;KOK;Koulumies;Terhi;;http://www.terhikoulumies.fi/;https://www.facebook.com/terhi.koulumies?ref=tn_tnmn;;4;4;4;4;3;2;4;4;3;3;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Krabbe;Johanna;;;;;4;4;4;4;4;2;4;3;4;5;3;3;2;2;2;2;2;2;2;3
Helsinki;KOK;Kähärä;Ari;;http://www.arikahara.palvelee.fi/;;;4;5;4;5;3;4;5;4;4;2;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Laaksonen;Heimo;;;;;4;4;2;4;5;4;3;4;2;4;3;3;2;3;3;1;2;3;3;2
Helsinki;KOK;Laitasalo;Anni;;http://www.annilaitasalo.fi/;http://www.facebook.com/laitasaloanni;http://www.twitter.com/annilaitasalo;4;4;4;3;3;2;4;3;4;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Lamminperä;Jaana;;;;;4;4;4;5;4;2;2;5;4;4;2;2;1;3;2;1;1;2;2;2
Helsinki;KOK;Lehto-Peltomäki;Viivi;29;http://www.viivilehto.com/;;;4;4;4;5;4;1;4;4;4;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Leppä-aho;Pauli;;;;;4;4;2;5;5;3;4;4;4;5;3;3;3;3;2;1;1;3;3;3
Helsinki;KOK;Levo;Juha;;http://www.juhalevo.fi/;;;5;4;4;4;4;4;2;1;4;5;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Lipponen;Marko;;;;;3;4;3;2;4;2;2;3;1;3;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Luomanen;Raine;;;https://www.facebook.com/RaineLuomanenKaupunginvaltuustoon?ref=hl;;3;4;3;4;3;4;2;4;4;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Luoto;Jani;29;http://www.janiluoto.fi/;http://www.facebook.com/luotojani;https://www.twitter.com/luotoja;4;4;5;4;4;3;4;4;1;2;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Luukkainen;Hannele;;;;;5;4;3;4;4;3;3;4;5;5;2;3;2;2;3;2;1;2;3;3
Helsinki;KOK;Lähteenmäki;Hanna;;;http://www.hannalahteenmaki.fi/;;4;4;2;4;4;2;1;2;2;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Majuri;Pekka;;http://www.pekkamajuri.fi/;http://www.facebook.com/pekkaolavi.majuri;;4;4;4;4;4;3;2;4;3;4;3;3;2;3;2;1;1;2;2;3
Helsinki;KOK;Malingrey;Catherine;49;http://www.facebook.com/CatherineKokoomus;http://www.facebook.com/CatherineKokoomus;;4;2;5;4;5;1;2;5;1;3;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Mansikka-aho;Cata;38;http://www.cata.fi/;https://www.facebook.com/catamansikkaaho;;2;5;4;4;5;5;4;4;2;5;3;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Mattila;Jukka I.;;;;;4;3;4;5;5;4;5;3;3;3;3;2;2;3;3;2;2;2;2;2
Helsinki;KOK;Mattila;Pekka;34;http://www.pekkamattila.fi/;http://www.facebook.com/#!/groups/Pekkamattila/;;4;4;4;3;2;2;1;4;4;2;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Meklin;Jaana;;;;;4;4;4;4;4;2;2;2;4;4;2;3;2;3;2;2;1;2;2;2
Helsinki;KOK;Mickelsson;Annukka;45;http://www.annukkamickelsson.net/;http://www.facebook.com/#!/annukkamickelssonstadissa;http://www.twitter.com/@amickelsson;4;4;2;4;3;1;4;4;5;4;3;3;1;3;2;2;1;3;3;3
Helsinki;KOK;Mohamed;Saido;;;;;4;5;4;2;3;1;2;4;3;5;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Mustajärvi;Liisa;;;;;1;2;4;2;5;2;4;4;4;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Muurinen;Seija;;http://www.seijamuurinen.net/;http://www.facebook.com/seija.muurinen.9;;3;4;3;2;5;3;4;3;3;2;2;2;1;3;2;1;2;1;2;2
Helsinki;KOK;Myllymäki;Birgitta;;;;;4;2;4;4;5;1;2;4;4;4;3;2;2;2;2;2;2;2;3;3
Helsinki;KOK;Männistö;Lasse;30;http://www.lassemannisto.fi/;http://www.facebook.com/mannistolasse;http://twitter.com/lassemannisto;4;4;4;4;3;1;2;4;4;4;2;2;2;2;1;2;2;2;2;2
Helsinki;KOK;Mäntylahti;Ossi;;;;;5;5;5;5;5;3;2;4;2;2;2;3;2;2;2;1;1;2;1;1
Helsinki;KOK;Nieminen;Jarmo;53;http://www.jarmonieminen.fi/;http://www.facebook.com/jarmo.nieminen.hki;;4;2;3;4;4;2;3;5;5;5;3;2;2;2;3;1;1;2;3;3
Helsinki;KOK;Nieminen;Olavi;;;;;3;4;4;4;3;3;3;4;2;3;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Niiranen;Matti;;http://www.mattiniiranen.fi/;https://www.facebook.com/mattiniiranen.fi;https://twitter.com/mattiniiranen;5;2;5;5;5;1;5;2;3;5;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Norvio;Sirpa;;http://www.sirpanorvio.blogspot.fi/;;;5;4;3;4;4;2;1;5;4;5;3;2;1;3;2;1;1;3;3;3
Helsinki;KOK;Nurmela;Tuomas;31;http://www.tuomasnurmela.fi/;http://www.facebook.com/nurmelatuomas/;http://www.twitter.com/tnurmela/;5;4;4;4;4;2;4;4;4;4;2;2;2;2;1;2;2;2;2;2
Helsinki;KOK;Nurminen;Laura;40;http://www.lauranurminen.net/;https://www.facebook.com/lauranurminen.valtuustoon;;3;2;3;4;4;1;1;3;5;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Närhinsalo;Timo;;;;;2;2;4;2;5;5;4;4;4;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Oka;Sakari;;;;;5;5;4;5;5;3;5;1;5;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Pakarinen;Pia;52;http://www.piapakarinen.net/;http://www.facebook.com/pakarisenpia;https://twitter.com/Pia_Pakarinen;5;4;4;5;4;2;2;4;2;4;2;2;2;2;1;2;2;2;2;2
Helsinki;KOK;Palm;Anniina;29;http://www.anniinapalm.fi/;;;4;2;4;2;3;1;4;2;4;5;2;2;2;2;1;2;1;2;2;3
Helsinki;KOK;Pasterstein;Dennis;40;http://www.dennispasterstein.fi/;;;4;5;4;4;4;2;3;3;2;3;3;3;3;3;2;2;2;3;2;2
Helsinki;KOK;Pekkala;Maria;32;http://www.mariapekkala.fi/;http://facebook.com/maria.pekkala.3;http://twitter.com/mariapekkala;4;3;4;4;5;3;5;4;4;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Pelkonen;Jaana;35;http://www.jaanapelkonen.com/;http://www.facebook.com/DYNAMIITTIA;https://twitter.com/JaanaPelkonen;4;4;4;4;3;1;4;4;2;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Peltola;Jani;33;http://www.peltsi.fi/;http://www.facebook.com/peltsi.hki;http://www.twitter.com/peltsi;5;5;4;5;4;1;4;4;4;4;3;3;2;3;2;1;2;2;2;2
Helsinki;KOK;Pillai;Balan;;http://www.pillai.eu/;https://www.facebook.com/Balan.Pillai;https://twitter.com/Pillaibalan;2;2;2;2;4;4;2;4;4;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Posti;Pauliina;;http://www.pauliinaposti.fi/;;;4;4;4;5;4;2;4;4;5;4;2;3;2;3;2;2;2;3;2;2
Helsinki;KOK;Pöysti;Essi;;;;;4;4;2;1;4;2;4;2;2;5;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Raittinen;Timo;;;;;4;3;2;3;3;5;4;5;4;5;2;2;2;2;2;2;2;2;3;2
Helsinki;KOK;Rauhamäki;Tatu;41;http://www.taturauhamaki.fi/;http://www.facebook.com/tatu.rauhamaki;;4;4;4;4;4;2;4;4;2;2;3;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Ridanpää;Jussi;;;;;5;2;2;2;3;2;2;2;4;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Riihelä;Esko;;;;;3;2;4;3;4;3;4;4;2;2;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Rissanen;Laura;36;http://www.laurarissanen.net/;http://www.facebook.com/RissanenLaura;http://www.twitter.com/laurarissanen;4;2;4;4;1;1;1;4;4;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Roininen;Petri;;;;;4;3;4;4;4;3;4;3;2;3;2;3;2;3;3;1;1;1;2;2
Helsinki;KOK;Ruhala;Heidi;;;;;5;4;4;4;3;3;3;5;4;4;3;3;2;2;1;1;1;3;2;2
Helsinki;KOK;Ruusuvuori;Leena;;;;;3;1;2;2;2;1;3;2;4;4;2;3;2;3;2;2;2;2;2;3
Helsinki;KOK;Rydman;Wille;26;http://www.willerydman.fi/;http://www.facebook.com/RydmanWille;http://twitter.com/willerydman;5;5;5;5;5;4;5;4;2;2;2;2;2;2;2;2;3;2;2;2
Helsinki;KOK;Saarinen;Eija Terhen;;;;;4;2;4;5;5;2;3;3;3;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Sahamies;Miika;;;;;4;3;4;4;2;1;3;2;3;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Salla;Aura;28;http://www.aurasalla.fi/;https://www.facebook.com/SallaAura;https://twitter.com/AuraSalla;4;4;4;4;2;1;4;4;2;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Salonranta;Jussi;;http://www.jussisalonranta.fi/;http://www.facebook.com/jussi.salonranta;http://www.twitter.com/jussisalonranta;4;3;4;2;3;1;3;4;2;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Sammallahti;Tiia;;;;;5;5;5;4;1;1;2;4;3;2;3;3;2;3;2;1;2;2;2;2
Helsinki;KOK;Saukkonen;Lea;;;;;4;4;2;3;3;3;2;4;3;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Simik;Laura;;http://www.laurasimik.fi/;http://www.facebook.com/Lsimik;;4;5;4;5;3;2;3;4;4;4;3;3;2;3;1;2;1;3;2;2
Helsinki;KOK;Sirviö;Tiia;33;http://www.tiiasirvio.fi/;http://www.facebook.com/sirviotiia;http://twitter.com/tiiasirvio;4;4;3;5;5;2;2;5;4;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Suvio-Samulin;Aira;;;;;;;;;;;;;;;;;;;;;;;;
Helsinki;KOK;Sydänmaa;Johanna;41;http://johannasydanmaa.fi/;http://www.facebook.com/#!/pages/Johanna-Syd%C3%A4nmaa-271-Helsingin-valtuustoon/274315642678981;;4;2;2;2;3;2;4;4;3;4;2;2;2;2;2;2;2;2;2;2
Helsinki;KOK;Syrjälä;Marjaana;37;http://www.marjaana.net/;http://www.facebook.com/marjaana.syrjala;;4;4;3;4;2;1;2;4;5;5;3;2;2;3;2;2;2;3;2;2
