sukunimi;etunimi;id;vaalipiiri;puolue;IP;KD;KESK;KOK;KTP;M11;PIR;PS;PSYL;RKP;SDP;SKP;STP;VAS;VIHR;puolue.e;correct
Aalto;Airi;4844;08 Kaakkois-Suomi;PS;0.00446464492251453;0.0708684761837985;0.0121521760313065;0.021970930848919;0.00350823308772541;0.0263903780466657;0.000910481482099317;0.824601767129901;0.00733315797958077;0.000797793564399948;0.0136943950269983;0.00186353843543419;0.0112222525000856;0.000203064426518712;1.87103340521631e-05;ps;1
Aalto;Esa;5750;12 Oulu;VIHR;0.000190664766863163;0.00172711654166552;0.001075313749971;0.014308227024122;0.00116002373498426;0.000143788953864504;0.0101913341327777;0.00114035543382911;0.0034693818215874;0.0307082236976326;0.00720167295858869;0.00140955152111557;0.000823272214933917;0.00352688019662696;0.922924193251437;vihr;1
Aalto;Harri;5535;07 Pirkanmaa;VAS;0.0400909373606096;0.00113544162775456;0.00294389954456263;0.000138397510193421;0.00789472510784428;0.185958518027929;0.00185739308699411;0.319647492166965;0.00574837533153288;0.000347961521054333;0.237519762190087;0.0437284752665175;0.0268166583018674;0.126088256162887;8.370679320138e-05;ps;0
Aalto;Matti;4706;12 Oulu;SKP;0.040723402091134;8.02650184525853e-05;0.000611695755915138;1.39767868400747e-06;0.00134013503569483;8.15270096343652e-05;0.000606185909958489;0.000114950037230896;0.000519912178838065;0.000240895830363402;0.0157266654217901;0.669821239745411;0.00821526591476832;0.257995710363351;0.00392075200877436;skp;1
Aalto;Pirkka;5190;13 Lappi;KD;4.91737615715992e-05;0.951295291029059;0.0160897625322916;0.00183194552003514;0.000486823309901377;8.99422862829589e-05;1.02815916120212e-05;0.00362517217727507;0.00156393367066896;0.00528429514827911;0.0169696412300987;0.00128723223796903;0.000494319001337839;0.000638003178975172;0.000284183324642146;kd;1
Aalto;Touko;5630;11 Keski-Suomi;VIHR;0.00195864413168189;0.000297970876905626;0.0319921889622546;0.0024369548544313;0.00249896969308619;0.000369719018840179;0.111195185233696;0.00194329416255976;0.00433645386762407;0.00912060993939427;0.00627823407367259;0.0025171025716117;0.00270966050021994;0.0181965935699583;0.804148418544063;vihr;1
Aalto-Partanen;Annika;4333;08 Kaakkois-Suomi;VIHR;0.00514396647607392;0.00332183912638525;0.0803237996614428;0.00194578488637703;0.00320875429978886;0.00278448222237769;0.0440110751900756;0.00143003094725273;0.00815034575534176;0.011724370668197;0.00532774947641932;0.00118417370326323;0.00339106675033631;0.0145793905019066;0.813473170334762;vihr;1
Aaltonen;Mikko;4683;07 Pirkanmaa;VAS;0.00182112554672267;0.00234455896493636;0.0576556295669345;0.000488691157512807;0.00397196647308522;0.000106018459807184;0.00284198000703572;0.000238728185854693;0.00487463800245069;0.0317650448259652;0.178388164422072;0.023565826743712;0.00930042833268249;0.601044025168185;0.0815931741430435;vas;1
Aarnos;Eila;4890;10 Vaasa;VAS;0.0052480048447618;0.00143119423225755;0.116920923787015;0.000645038583330795;0.00398848759859505;0.000888390711284701;0.0239653969470009;0.00263437182602733;0.0074641122971904;0.00594023026406554;0.0535011851135641;0.0311077570711455;0.00932505934012046;0.362421121393698;0.374518725989943;vihr;0
Aavakare;Eila;4468;12 Oulu;PS;0.10388670039609;0.0230118440491;0.298781951980601;0.00879026557347209;0.00389943507606794;0.100753336165584;0.00191070241795359;0.423427215196518;0.0117205412279191;0.000147623916204249;0.0018508775974947;0.00549935564791519;0.00570109912749133;0.00257841901830184;0.0080406326092877;ps;1
